"taste" "odor" "smooth" "bright" "result"
5.71517056623422 4.60007920094403 5.3047849474047 6.10533432922958 "high"
6.43692971700057 6.75499719848682 4.98340851360747 5.42164948132318 "high"
5.60570952577598 4.35874601639517 5.25709736925362 6.22005333828162 "high"
6.18005239839795 5.11140881789949 4.9611885871932 6.67296838537281 "high"
5.82636295312289 3.18813903245322 5.19128903434835 5.944934745944 "high"
5.46530370517124 4.63949813192994 4.76937653372658 5.69710542673488 "high"
5.37093666015676 3.18592637146819 5.21835142671352 6.19279793433878 "high"
5.75488812382517 5.98611081254145 5.01438747347421 5.84147067320448 "high"
6.59286640104036 5.97758749847527 5.16480907379768 6.24419174048548 "high"
6.23855945780487 5.08764629014757 4.93525781910293 5.83623796193309 "high"
5.60400722673035 4.57393239231252 4.83677114025523 6.82580104838115 "high"
6.3123224597388 4.19779699192916 4.95768085023957 5.851174547227 "high"
6.33957336394426 5.07515395434747 5.05989683052796 5.99495632821064 "high"
6.2494207056236 6.24918468732969 4.9659665136753 6.51312714455934 "high"
5.41940701426363 5.22903261439585 4.9935746100442 6.07306063349032 "high"
6.07335438675765 4.65804314476462 4.91903715906294 5.61011134906678 "high"
5.58228366459662 5.0527923726531 5.06535129515038 6.03189982531162 "high"
6.86639993061605 7.33941823745498 4.7580367253201 4.94726795657027 "high"
6.28871405716711 4.48561692068295 4.94237520097495 6.40748978007715 "high"
5.61829219723594 3.75089989667121 5.06854295944415 6.02325320514644 "high"
6.07243906886079 5.35386098908219 4.93958710394289 6.21837356707411 "high"
5.97807690480808 5.21519832486958 5.21404328159164 6.19670754247868 "high"
6.09927782572465 5.98735544585444 5.16891218361192 6.19285464711113 "high"
5.99879543778138 4.4240809823866 5.26439125994195 5.84747549139562 "high"
7.3214606749848 7.01952043579226 4.88861116330462 5.47839418774572 "high"
5.73232926343938 5.12949558981097 4.92199423234735 5.8466523302858 "high"
5.56680755012822 4.87673842390919 4.7758066200719 5.32524507380427 "high"
6.00729270087246 5.80264293039112 4.87571565533807 6.1704339525537 "high"
5.25753520077609 4.57158980944805 5.09442465303158 6.15808010368686 "high"
5.91401301958696 4.48372055594823 4.82070198378064 5.59895196951996 "high"
6.35142055707214 5.13164511151658 4.92977606296073 5.43225620739609 "low"
7.20154092859975 5.73836063465222 5.09266955037621 5.55708125145689 "low"
6.06117363365922 5.65350478718661 5.28692744205536 5.7464362295847 "low"
6.39416897466138 5.6042021672696 4.66162291345351 5.89147730890771 "low"
6.03012818665234 6.4301305878578 5.27101636770846 4.97675168131962 "low"
6.76032436138143 6.03040112858966 4.65671480931491 4.85102220333829 "low"
5.63784148203893 5.15813168366444 4.74334659016184 5.76202796408404 "low"
7.18394108060142 5.11488150257218 5.25034498001304 5.8831894506915 "low"
6.44059527098618 5.10578588222311 5.00510860540736 5.43789966369527 "low"
6.69261711104465 5.74197184583164 5.19388648071681 5.40430970850498 "low"
6.70913758889959 5.059780661853 4.92800477621118 6.77757369545136 "low"
6.38598627165442 6.20851606242616 5.08932916051869 5.3210102615895 "low"
6.80863383427533 6.47216851643676 4.9542642187531 5.4916577757556 "low"
6.9336249193935 8.15608241288429 4.74158693860671 4.92142331885681 "low"
6.59215230864444 6.3213459300853 5.05663291793875 5.318103170058 "low"
6.28748989084732 7.06963368836764 4.84361713997062 5.08601075244151 "low"
6.36369704331519 5.71499893340243 5.22140796787848 5.58879938615165 "low"
6.7431466359714 5.6818613856178 5.05526402107365 5.40027585326678 "low"
6.31901845153465 5.08006605323104 4.85458789858758 6.28668689205398 "low"
6.51493052356906 4.99272835377113 4.88757354630735 5.07339760811377 "low"
7.76396959233331 7.72042712691923 4.94999884729522 5.6081089858356 "low"
6.20894875006214 5.50894377716957 4.8369041562104 5.26670844301869 "low"
7.23638880328013 6.2759228094924 5.05358732611349 5.58658453594964 "low"
6.92179275135931 5.69578943665122 4.90419448838348 6.13909293125048 "low"
6.1468123145314 5.31656229090708 4.73264152845718 4.99186308284158 "low"
6.375138390779 6.40456618975261 5.2127880167589 5.79220916845592 "low"
6.34664502970243 6.04640916821861 4.83056377157569 5.19108991613977 "low"
6.71221143329407 5.13235862081101 5.41943694429051 5.58595406633533 "low"
6.4491335024007 5.41798728867079 4.86742505046824 4.99826678415822 "low"
6.51680426446924 6.40282158327034 5.01640757526348 5.18269642355583 "low"
