"species" "temp" "yield"
"1" 83 -0.697139205845982 15.3406562328934
"2" 162 -1.38235040714605 12.7838974581456
"3" 168 -2.87122377218542 11.8954372364343
"4" 99 -3.66573715856171 15.9426229207899
"5" 25 -3.35231477427338 9.36741578077731
"6" 155 -1.57124659014901 16.7040342063878
"7" 37 0.131149341109749 15.3200310820691
"8" 16 1.91920164237805 14.5682681819275
"9" 170 -0.952796373578778 13.4167570128362
"10" 118 -1.10485639960542 11.8422533647466
"11" 137 -3.27111318908801 9.73062339922427
"12" 12 -1.51167763877831 13.1939895221518
"13" 82 -1.25047751544822 13.9045184237568
"14" 88 -0.0876277694395241 17.4645832126852
"15" 197 2.83850542485598 15.3648789775698
"16" 67 -2.37458915025501 12.0455586756592
"17" 172 1.47924195572489 14.1553066306617
"18" 168 -0.508063949719458 13.1147411880568
"19" 185 -1.72609776704411 14.5191474320021
"20" 117 -2.30520338778294 14.5486414316875
"21" 5 -1.48086123932305 13.6921012638114
"22" 155 3.04185689128859 16.9894694003489
"23" 91 0.93245049079974 18.1130659407691
"24" 156 0.594707934126662 16.561821691673
"25" 197 3.77758532338388 19.5171229310464
"26" 35 0.63279054071273 17.0638012298225
"27" 64 1.62272499541701 15.8516442409604
"28" 102 3.87739005474848 20.460554392285
"29" 113 -2.51903305535955 16.6041616200375
"30" 54 -0.209941626651322 13.4134508694623
"31" 181 0.0858784043095643 15.7404694746989
"32" 141 -1.8125212780246 17.7640857093194
"33" 5 -1.25621579412086 9.39506993963738
"34" 16 1.13393541827833 13.3423378439962
"35" 126 -2.78624606624593 13.7781190560319
"36" 109 -3.55881616152139 16.5341768562432
"37" 67 1.32260217609749 11.7244474379581
"38" 193 2.47107600985408 13.1368563567046
"39" 142 2.21102451721753 15.9627851952123
"40" 162 -0.0258750633285369 16.6212355638136
"41" 169 0.459597626339614 18.9778215885925
"42" 191 1.40951009769911 14.4126365172622
"43" 193 -2.57134587910416 13.8503395552942
"44" 169 0.886604665219221 13.9694305603039
"45" 6 -3.10873592803476 13.6677609653487
"46" 63 -0.570530182376183 14.2951742153687
"47" 187 1.01105314583529 11.5694618838075
"48" 136 -1.30469494293555 15.729038426308
